T_oa,T_ia,T_sky,I,h_co,T_SE
270.04999999999995,293.15,244.40050507751,0.0,19.104133333333333,0.0
270.15,293.15,244.8356158513355,0.0,18.615066666666667,0.0
270.25,293.15,245.26424498686018,0.0,18.125999999999998,0.0
270.34999999999997,293.15,245.68676958994047,0.0,17.63693333333333,0.0
270.45,293.15,246.1035360255325,0.0,17.147866666666665,0.0
270.54999999999995,293.15,246.51486258041817,0.0,16.6588,0.0
270.5333333333333,293.15,246.49189668872077,0.0,16.8684,0.0
270.51666666666665,293.15,246.46893280027862,0.0,17.078,0.0
270.5,293.15,246.44597091764714,0.0,17.287599999999998,0.0
270.4833333333333,293.15,246.4230110433842,0.0,17.4972,0.0
270.46666666666664,293.15,246.4000531800504,0.0,17.7068,0.0
270.45,293.15,246.37709733020873,0.0,17.9164,0.0
270.43333333333334,293.15,246.36538759699553,0.0,18.195866666666667,0.0
270.41666666666663,293.15,246.3536574460232,0.0,18.47533333333333,0.0
270.4,293.15,246.3419069330739,0.0,18.7548,0.0
270.3833333333333,293.15,246.3301361136885,0.0,19.034266666666667,0.0
270.3666666666666,293.15,246.31834504316842,0.0,19.31373333333333,0.0
270.34999999999997,293.15,246.30653377657742,0.0,19.5932,0.0
270.26666666666665,293.15,246.16940750248847,0.0,19.31373333333333,0.0
270.18333333333334,293.15,246.03239394266268,0.0,19.034266666666667,0.0
270.09999999999997,293.15,245.89549416670633,0.0,18.7548,0.0
270.01666666666665,293.15,245.75870925330486,0.0,18.47533333333333,0.0
269.93333333333334,293.15,245.62204029031605,0.0,18.195866666666667,0.0
269.84999999999997,293.15,245.4854883748664,0.0,17.9164,0.0
269.76666666666665,293.15,245.349054613448,0.0,17.7068,0.0
269.68333333333334,293.15,245.2127401220166,0.0,17.4972,0.0
269.59999999999997,293.15,245.0765460260919,0.0,17.287599999999998,0.0
269.51666666666665,293.15,244.94047346085878,0.0,17.078,0.0
269.43333333333334,293.15,244.8045235712701,0.0,16.8684,0.0
269.34999999999997,293.15,244.66869751215108,0.0,16.6588,0.0
269.26666666666665,293.15,244.5329964483057,0.0,16.379333333333335,0.0
269.18333333333334,293.15,244.39742155462378,0.0,16.099866666666664,0.0
269.09999999999997,293.15,244.2619740161904,0.0,15.8204,0.0
269.01666666666665,293.15,244.12665502839738,0.0,15.540933333333331,0.0
268.93333333333334,293.15,243.99146579705499,0.0,15.261466666666667,0.0
268.84999999999997,293.15,243.85640753850703,0.0,14.982,0.0
269.34999999999997,293.15,244.399028758662,0.0,15.471066666666665,0.0
269.84999999999997,293.15,244.93760972314513,0.0,15.960133333333333,0.0
270.34999999999997,293.15,245.47193306698767,0.0,16.449199999999998,0.0
270.84999999999997,293.15,246.0017717099668,0.0,16.938266666666667,0.0
271.34999999999997,293.15,246.52688776532509,0.0,17.427333333333333,0.0
271.84999999999997,293.15,247.04703132754372,0.0,17.9164,0.0
272.3333333333333,293.15,247.58006572599555,0.0,18.40546666666667,0.0
272.81666666666666,293.15,248.10992898543995,0.0,18.894533333333335,0.0
273.29999999999995,293.15,248.63646595349252,0.0,19.3836,0.0
273.7833333333333,293.15,249.1595157809504,0.0,19.872666666666667,0.0
274.26666666666665,293.15,249.67891133283595,126.52423048130112,20.361733333333333,6.901321662616424
274.75,293.15,250.19447854405416,182.99237247585535,20.8508,9.981402135046656
273.79999999999995,293.15,248.93045968951142,240.7329580903533,22.387866666666667,13.13088862311018
272.84999999999997,293.15,247.67181985187037,287.0273394934151,23.924933333333335,15.656036699640824
271.9,293.15,246.4189638165279,325.5774053404256,25.462,17.758767564023216
270.95,293.15,245.17231919543067,353.2828807169286,26.999066666666664,19.26997531183247
270.0,293.15,243.93233757180366,381.62846257638796,28.53613333333333,20.81609795871207
269.04999999999995,293.15,242.69949568287808,410.65980841104334,30.0732,22.399625913329636
269.21666666666664,293.15,242.8660317685275,440.34148933612755,29.863599999999998,24.018626691061502
269.3833333333333,293.15,243.03193828968372,470.07066405663187,29.654,25.640218039452645
269.54999999999995,293.15,243.19720278978778,500.9415594791648,29.444399999999998,27.324085062499897
269.71666666666664,293.15,243.3618125537144,520.7868425104818,29.2348,28.40655504602628
269.8833333333333,293.15,243.52575459749409,540.4928473096377,29.025199999999998,29.481428035071144
270.04999999999995,293.15,243.6890156575743,560.0451232521464,28.8156,30.547915813753438
270.2333333333333,293.15,243.87332581122925,579.4158414641474,28.536133333333332,31.604500443498953
270.41666666666663,293.15,244.05691410300852,598.5695231030348,28.256666666666664,32.64924671471099
270.59999999999997,293.15,244.23976509067975,617.4661950790576,27.9772,33.6799742770395
270.7833333333333,293.15,244.42186299060197,631.4400193608951,27.697733333333332,34.442182874230646
270.96666666666664,293.15,244.6031916630731,644.9652542977768,27.41826666666666,35.17992296169692
271.15,293.15,244.78373459697153,658.0149471214341,27.1388,35.89172438844186
271.31666666666666,293.15,244.9566073661884,670.5607031284811,26.9292,36.576038352462604
271.4833333333333,293.15,245.129007656918,682.5734237287203,26.7196,37.2312776579302
271.65,293.15,245.3009265790859,703.5301620614647,26.509999999999998,38.37437247607989
271.81666666666666,293.15,245.47235509686055,694.4663611817207,26.3004,37.87998333718477
271.9833333333333,293.15,245.64328402331253,694.134417664975,26.0908,37.86187732718045
272.15,293.15,245.81370401487064,693.040967818385,25.8812,37.80223460827554
272.15,293.15,245.82930155489618,691.200236541624,26.370266666666666,37.70183108408858
272.15,293.15,245.8448746315743,688.6276200093635,26.859333333333336,37.56150654596528
272.15,293.15,245.860423333359,685.3395752998557,27.3484,37.382158652719404
