exergy_c_sun,exergy_c_sky,exergy_c_gnd,exergy_c_cv
0.0,0.0,0.0,0.0
0.0,6.365121835797937,0.776846856744884,4.429649182744891
0.0,6.374795313244631,0.7737744404474262,4.41226390651036
0.0,6.384293545578663,0.7707660647005755,4.395241052516311
0.0,6.393621998565425,0.7678195422264137,4.378568335948189
0.0,6.4027859355168575,0.7649327774881961,4.362233985768597
0.0,6.4117904254904055,0.7621037622977391,4.346226720202896
0.0,6.4206403511475285,0.7593305716555209,4.330535723516231
0.0,6.429340416284002,0.756611359809534,4.315150624007613
0.0,6.437895153044223,0.753944356521153,4.300061473154029
0.0,6.4463089288342665,0.7513278635253748,4.285258725836182
0.0,6.454585952944984,0.7487602511747321,4.270733221586047
0.0,6.462730282898319,0.746239955256471,4.2564761667985245
0.0,6.470745830526551,0.7437654739731245,4.242479117853031
0.0,6.478636367796731,0.7413353650775681,4.2287339650948885
0.0,6.486405532390926,0.7389482431535691,4.215232917627726
0.0,6.494056833053008,0.7366027770340093,4.201968488872692
0.0,6.501593654709801,0.7342976873492352,4.188933482852836
0.0,6.5090192633779616,0.7320317441982865,4.176120981162539
0.0,6.516336810865734,0.7298037649362112,4.163524330584634
0.0,6.523549339276803,0.7276126120712634,4.151137131319966
0.0,6.530659785325968,0.7254571912660592,4.138953225797423
0.0,6.537670984474344,0.7233364494370316,4.126966688031585
0.0,6.544585674891124,0.7212493729468008,4.115171813500505
0.0,6.551406501250168,0.7191949858848224,4.1035631095152585
0.0,6.558136018368415,0.7171723484312272,4.092135286053931
0.0,6.564776694691697,0.71518055529987,4.080883247038769
0.0,6.571330915636369,0.7132187342559673,4.069802082029719
0.0,6.577800986791451,0.7112860447047455,4.058887058314741
0.0,6.5841891369876535,0.7093816763475145,4.048133613376213
0.0,6.590497521239557,0.7075048479009212,4.037537347712586
0.0,6.59672822356587,0.7056548058771743,4.0270940179984285
0.0,6.602883259692461,0.703830823421334,4.016799530565137
0.0,6.6089645796448,0.7020321992029428,4.006649935185239
0.0,6.614974070232707,0.7002582563593421,3.996641419145941
0.0,6.620913557433722,0.6985083414879717,3.986770301595786
0.0,6.62678480867792,0.6967818236850041,3.9770330281525816
0.0,6.63258953503932,0.6950780936284255,3.967426165757952
0.0,6.638329393338057,0.6933965627028238,3.9579463977665115
0.0,6.64400598815635,0.6917366621640901,3.9485905192584063
0.0,6.6496208737724745,0.6900978423420113,3.9393554325639557
0.0,6.655175556016809,0.6884795718786083,3.9302381429886935
0.0,6.660671494051031,0.6868813370013575,3.921235754732301
0.0,6.666110102077294,0.6853026408280486,3.912345466987582
0.0,6.6714927509771424,0.6837430027032098,3.9035645702137254
0.0,6.676820769885068,0.6822019575637475,3.8948904425743924
0.0,6.6820954476986305,0.6806790553325205,3.8863205465327297
0.0,6.6873180345280705,0.6791738603388524,3.877852425595654
0.0,6.6924897430886965,0.677685950763827,3.8694837011997287
0.0,6.697611750036926,0.6762149181104233,3.8612120697338495
0.0,6.702685197252981,0.6747603666962586,3.853035299689917
0.0,6.707711193074205,0.673321913168203,3.8449512289356593
0.0,6.712690813478513,0.6718991860379643,3.836957762105865
0.0,6.717625103221439,0.6704918252376032,3.8290528681040548
0.0,6.72251507692876,0.6690994816937701,3.821234577710711
0.0,6.727361720145705,0.6677218169203951,3.813500981293318
0.0,6.732165990346641,0.6663585026278895,3.8058502266111343
0.0,6.736928817903746,0.6650092203495263,3.798280516714573
0.0,6.741651107018366,0.6636736610832079,3.790790107931184
0.0,6.746333736617275,0.6623515249479288,3.783377307934848
0.0,6.750977561213969,0.6610425208546101,3.776040473895911
0.0,6.75558341173657,0.659746366190754,3.7687780107068534
0.0,6.760152096323803,0.6584627865177106,3.7615883692813803
0.0,6.764684401091466,0.6571915152806568,3.7544700449227424
0.0,6.769181090868112,0.6559322935301597,3.7474215757590055
0.0,6.773642909905458,0.6546848696550156,3.740441541239861
0.0,6.778070582559624,0.6534489991260923,3.7335285606961675
0.0,6.782464813946102,0.6522244442504278,3.726681291957069
0.0,6.786826290572918,0.6510109739350062,3.7198984300210203
0.0,6.791155680947992,0.6498083634600729,3.7131787057809422
0.0,6.795453636164575,0.6486163942613106,3.7065208847990077
0.0,6.799720790464586,0.6474348537207238,3.699923766130243
0.0,6.803957761780756,0.6462635349660129,3.693386181192947
0.0,6.808165152261099,0.6451022366769112,3.6869069926806524
0.0,6.8123435487708655,0.6439507629000446,3.6804850935195828
0.0,6.8164935233765895,0.6428089228706909,3.6741194058654165
0.0,6.820615633815149,0.6416765308410757,3.6678088801377307
0.0,6.82471042394295,0.6405534059156115,3.661552494092166
0.0,6.8287784241704115,0.6394393718922116,3.6553492519281408
0.0,6.832820151879946,0.6383342571098057,3.6491981834301526
0.0,6.836836111829531,0.6372378943015792,3.6430983431420536
0.0,6.840826796540412,0.6361501204537965,3.637048809572503
0.0,6.8447926866743,0.6350707766696801,3.6310486844281664
0.0,6.848734251393628,0.6339997080384662,3.625097091878444
0.0,6.852651948708877,0.6329367635101018,3.619193177846981
0.0,6.8565462258173975,0.6318817957731153,3.6133361093272245
0.0,6.860417519427144,0.6308346611382208,3.607525073725185
0.0,6.864266256069996,0.6297952194255457,3.601759278225725
0.0,6.868092852404444,0.6287633338561753,3.5960379491812544
0.0,6.871897715506546,0.627738870947959,3.5903603315246673
0.0,6.8756812431539895,0.6267217004139805,3.5847256881996423
0.0,6.8794438240968825,0.6257116950660938,3.5791332996152536
0.0,6.883185838319046,0.624708730721355,3.573582463119744
0.0,6.886907657293871,0.6237126861113176,3.5680724924900544
