entropy_if_IB,entropy_gen_IB,entropy_of_IB
0.0,0.0,0.0
1.7521674967963492,9.224545361780326e-11,1.7521478871189078
1.7520419299039116,8.176104503362018e-09,1.7518573209721855
1.7515570655310553,1.6197416238360928e-07,1.7507355223998562
1.750391939449986,1.327313341366756e-06,1.7480411092222692
1.7483669081705953,6.023686595169619e-06,1.7433623554146336
1.7455238024799504,1.8328855560499736e-05,1.7368025213039924
1.7420131705638755,4.2703591849465623e-05,1.7287170498106046
1.737990556051958,8.306449159783963e-05,1.719472067540595
1.7335900606925096,0.00014236544054726017,1.709382543443184
1.7289174211651959,0.0002225893636326569,1.6986962582500844
1.7240520030593118,0.0003249287495458784,1.6875987087406825
1.7190552259530345,0.0004499100804251207,1.6762328052973539
1.7139756154641375,0.0005975142853762629,1.6647107569488573
1.708851811415141,0.0007672943130829298,1.6531212212881374
1.7037144782823221,0.0009584873205563501,1.6415339048070552
1.6985877434449972,0.001170113204211058,1.6300030481585546
1.6934905937106834,0.0014010455596536902,1.6185707707451444
1.6884380578354155,0.0016500613684597354,1.6072698860887795
1.6834421860940965,0.0019158731371916595,1.5961262196030592
1.6785130769688343,0.0021971338830234933,1.5851609925440033
1.6736601512769487,0.002492401510174526,1.574393714846161
1.668892840922689,0.0028001125248441287,1.5638437381516623
1.664220026883641,0.003118628186009936,1.553529027928965
1.6596490274489415,0.0034463259431361678,1.543463965321449
1.6551852064472337,0.0037816634697215804,1.5336585402979752
1.6508320741768117,0.004123209004690637,1.5241186319554725
1.6465914154556154,0.004469664791489287,1.514846340657372
1.642463494583796,0.004819878828400192,1.5058404798262015
1.6384474422349788,0.0051728341713258175,1.4970974537188795
1.6345416771706083,0.00552762611861959,1.4886121970129003
1.6307441980746995,0.005883443080614897,1.4803788197398389
1.6270528033749423,0.0062395488148047195,1.4723910878310793
1.6234653267745764,0.006595259124435726,1.4646429315203493
1.619979775006521,0.00694992484803908,1.4571287373943551
1.6165942535391298,0.007302935305304229,1.4498431816326567
1.6133068057699402,0.007653732435014118,1.4427808796553034
1.6101154961347783,0.008001800472439903,1.4359365621792741
1.6070192857442018,0.008346565364672454,1.4293069451967375
1.6040197976834611,0.008687180873129502,1.422894483299381
1.6011224670798625,0.009022365372640534,1.4167097787231555
1.5983355438231652,0.00935048289810047,1.4107694004175608
1.5956680094078675,0.009669771577067018,1.40509141827062
1.593128317285847,0.009978498083493824,1.3996927274840187
1.5907240175718633,0.010275016758855733,1.3945882712152224
1.5884615968187792,0.010557804946100617,1.3897907238999463
1.5863464474162912,0.010825482202341237,1.3853104495054571
1.5843840204046722,0.011076676005778066,1.3811579607756574
1.5825850200988423,0.011309351647497983,1.377354903061947
1.5809720674874077,0.011519913922305646,1.3739480854881545
1.5795733160046503,0.01170400338150706,1.37099594031158
1.5783982578994746,0.01185972095771016,1.3685175217952685
1.5774196879125941,0.011990143793998573,1.3664546532562156
1.576580699330964,0.01210250098122872,1.364686837587522
1.575812601189235,0.01220579939733098,1.363069048023855
1.5750477913627918,0.012309068302801283,1.3614588052497738
1.5742324976557944,0.01241960701619943,1.3597429544783957
1.573343342271028,0.012540692753309022,1.3578724569223386
1.5723945213507018,0.012670516329005458,1.3558773629886844
1.5714246188281635,0.012803877539070205,1.3538389220562772
1.5704755174315146,0.012935017259287208,1.3518451582431554
1.5695813673770524,0.013059141657065357,1.349967697189201
1.568767754976144,0.013172572376566143,1.3482600726846456
1.5680535819524613,0.013272521337757836,1.346761726333174
1.5674527481626825,0.013356884625668924,1.3455015820549565
1.5669749605726468,0.013424151025833143,1.344499775968639
1.5666259106269818,0.013473393608987461,1.3437680531100331
1.566407651715027,0.013504227944485608,1.3433105758962607
1.5663193888878681,0.013516706642124036,1.343125588535619
1.5663583516159791,0.013511197377360576,1.3432072483202662
1.566520528820746,0.013488277178055941,1.3435471634596277
1.566800798579046,0.013448710473480768,1.344134659505619
1.5671918293810767,0.013393598896231922,1.344954468234137
1.5676830602788483,0.0133245165947171,1.345984576869167
1.568261029226665,0.01324345220303827,1.3471968988377683
1.5689092748074467,0.013152808942448808,1.348557047115307
1.5696076917218822,0.013055479356453754,1.3500229588214328
1.5703338253008456,0.012954649378942404,1.3515475889507624
1.5710651103921556,0.012853477424900225,1.3530835961933454
1.5717799866837485,0.0127549379928607,1.354585682402341
1.5724589128809665,0.012661685886614489,1.356012729567475
1.5730855968460864,0.012575896540627667,1.357330399391471
1.5736472952832408,0.012499237740078849,1.3585117825447794
1.574134214544261,0.012432963955213025,1.3595361572870215
1.5745386241187005,0.012378047130274749,1.3603871396643241
1.5748542160444778,0.012335271202197459,1.3610513468717937
1.5750761046400301,0.012305237947989187,1.3615184054378202
1.5752009053543066,0.012288361036448727,1.3617811243119737
1.5752259049911495,0.012284981630934493,1.3618337532074456
1.5751483195082592,0.01229547093111763,1.3616704234627923
1.5749674616171818,0.012319938763046767,1.3612897136541193
1.5746884685586604,0.012357728196222453,1.3607024950447786
1.5743216442073138,0.012407497633971167,1.359930536293394
1.5738775534100047,0.012467876913969323,1.35899616553089
1.5733643014001877,0.01253783213254802,1.3579165385920358
1.572787857062375,0.012616620979953395,1.3567043180882323
1.5721519831852637,0.012703803338841602,1.3553675283310151
1.5714580377235952,0.01279927147689096,1.3539091419455105
1.570706000553138,0.012903112779040576,1.352329243667078
1.569895793673487,0.013015429696112113,1.3506278072141624
1.5690279048745368,0.013136252891803155,1.3488060043825376
1.5681036214435495,0.013265506659046373,1.34686669253881
1.567125390140653,0.013402955258778689,1.344815164915788
