,exergy_if_BL,exergy_c_BL,exergy_of_BL,exergy_if_sun,exergy_if_sky,exergy_if_gnd,exergy_if_cv,exergy_c_sun,exergy_c_rad,exergy_of_os,exergy_of_cd
5,-11.532396705647685,1.1149829695317792,-14.53456586754978,0.0,0.5116795890779965,1.209982709063142,-13.254059003788823,0.0,1.1149829695317792,2.2143267979801697,-16.74889266552995
11,-7.126408413658895,0.601588299714366,-9.489817772018322,0.0,0.494673991999008,1.2165252783213245,-8.837607683979227,0.0,0.601588299714366,1.3936861771508038,-10.883503949169125
17,-5.039849155245866,0.35355779832037126,-7.09868630657365,0.0,0.48309523872739546,1.2323014467424052,-6.755245840715666,0.0,0.35355779832037126,0.9720508614137318,-8.070737167987382
23,-3.39127317584311,0.23796336143974964,-5.3545333277353215,0.0,0.4725820355439151,1.3073064506329133,-5.171161662019938,0.0,0.23796336143974964,0.8004086197571274,-6.154941947492449
29,-2.4460510830225637,0.1740781288901638,-4.380422355300492,0.0,0.4620129975822143,1.390201348811787,-4.298265429416565,0.0,0.1740781288901638,0.7159883252884501,-5.096410680588942
35,-1.7124733475640785,0.13388015948666246,-3.6473604548580116,0.0,0.4512204878308603,1.4757228874498085,-3.6394167228447474,0.0,0.13388015948666246,0.6717545204919484,-4.31911497534996
41,0.0845733587417099,0.10044093150446794,-1.758687934626212,0.0,0.6951585455209324,1.0438043478260886,-1.654389534605311,0.0,0.10044093150446794,0.259836870482653,-2.018524805108865
47,132.45124177274266,130.21273360791147,0.7106531412795837,131.48786780122575,1.0033770006641787,0.6647597751954204,-0.7047628043426909,130.07228780298843,0.14044580492303807,0.09457870993053677,0.6160744313490469
53,329.90308516266174,326.34127449885233,1.5699662622009436,339.5026065010949,0.6536461995893208,1.367839508255725,-11.621007046278173,325.8766642270811,0.4646102717712411,1.1114465931853577,0.45851966901558583
59,459.8586518614162,451.8672450088085,5.905519518775525,472.65427153918483,0.7195777138965562,1.2950983257181163,-14.810295717383319,451.1389000119292,0.7283449968792899,1.4389509316079352,4.46656858716759
65,543.9666112379186,532.4091572139603,9.361554994675839,560.1057079012055,0.8433035343344795,1.124060015179607,-18.106460212800965,531.2094688602391,1.1996883537211893,1.8704960874400829,7.491058907235755
71,577.012096267607,564.0393665353633,10.643050327923966,596.4044879154305,0.9613367683926444,0.9771040466401296,-21.330832462856275,562.3007821065507,1.7385844288126395,2.319334434378599,8.323715893545367
77,528.1993934044162,520.7118276779594,5.092259301966431,551.6696306469383,0.9586055847385091,0.9654307719863874,-25.394273599246997,518.81468372785,1.897143950109371,2.514042635979826,2.578216665986605
83,418.8452668352071,417.7552840807172,-1.2512968329233498,440.26477018485724,0.9447829763557624,0.9654307719863874,-23.329717097992326,416.19434000060716,1.5609440801100403,2.089460802611719,-3.340757635535069
89,305.263255269964,307.2791084328908,-4.2120598380964305,320.89226575161786,0.9189244207872752,0.9654307719863874,-17.513365674427547,306.2375741423759,1.041534290514929,1.4286479303183368,-5.640707768414767
95,186.4618445088682,189.2135167673845,-4.913580335380857,196.42857539919433,0.8589618393432608,1.0305242365408052,-11.856216966210193,188.5065833310064,0.7069334363781016,1.077037568275127,-5.990617903655984
101,65.66662939931851,68.71177664143336,-5.123441507572297,70.75422109916381,0.7989457596005775,1.1040216641248566,-6.990559123570737,68.29836695319952,0.4134096882338376,0.7433761245453732,-5.8668176321176695
107,-1.9879567330250385,0.21200645021869455,-4.14849555999334,0.0,0.7419093621519733,1.1801203651305887,-3.9099864603076004,0.0,0.21200645021869455,0.49413855408558127,-4.642634114078922
113,-1.0157127750334798,0.13952498686629075,-3.084061004894173,0.0,0.6936924667452818,1.244202160559764,-2.9536074023385255,0.0,0.13952498686629075,0.41572014181342265,-3.4997811467075954
119,-0.5263453147193906,0.10372334919266622,-2.55474169994916,0.0,0.6425114136027104,1.323675639208141,-2.492532367530242,0.0,0.10372334919266622,0.40107865608005766,-2.9558203560292178
125,-0.18746908635357507,0.08167123713232066,-2.189193997984433,0.0,0.5989222443154699,1.3916051641784826,-2.1779964948475277,0.0,0.08167123713232066,0.3997351958102775,-2.5889291937947103
131,0.02046770689354438,0.061619718439880816,-1.955297353095767,0.0,0.6148277902327055,1.366448091911035,-1.960808175250196,0.0,0.061619718439880816,0.3298490538905641,-2.285146406986331
137,0.29139260668888767,0.044393792595942005,-1.6621611627028567,0.0,0.6364900085623842,1.3332727440535153,-1.678370145927012,0.0,0.044393792595942005,0.26155143846650836,-1.923712601169365
143,0.5248539362455271,0.03272837359565357,-1.4245440811686092,0.0,0.66768335113527,1.3005168839331211,-1.443346298822864,0.0,0.03272837359565357,0.20572702933821213,-1.6302711105068213
149,0.7663056392470491,0.024431333679838216,-1.1518517144497813,0.0,0.6524566212806368,1.297806149973025,-1.1839571320066127,0.0,0.024431333679838216,0.1856921865941344,-1.3375439010439156
155,0.928429911612844,0.0214397996259977,-0.962621192012363,0.0,0.6334328305337713,1.297806149973025,-1.0028090688939522,0.0,0.0214397996259977,0.18294887713185334,-1.1455700691442163
161,1.0273163146627757,0.020870905672858143,-0.8402383682858409,0.0,0.6149682131526913,1.297806149973025,-0.8854580484629405,0.0,0.020870905672858143,0.18791562857351765,-1.0281539968593585
167,0.9527748405911284,0.018396168189781282,-0.8893473812448114,0.0,0.5970411968228319,1.297806149973025,-0.9420725062047285,0.0,0.018396168189781282,0.18599324004554213,-1.0753406212903536
173,0.8666113178122241,0.013650360861105435,-0.9532314976886652,0.0,0.5743832812873461,1.3127512014935019,-1.0205231649686237,0.0,0.013650360861105435,0.180364112809407,-1.1335956104980722
179,0.8589884717337466,0.008772886723558079,-0.9337968991249044,0.0,0.5571250376606219,1.3141142086330955,-1.012250774559971,0.0,0.008772886723558079,0.16522403259604235,-1.0990209317209467
185,1.2604033222602649,0.009298958220960975,-0.5396973810305664,0.0,0.6934661510143796,1.1265778220892162,-0.5596406508433309,0.0,0.009298958220960975,0.08311095625093375,-0.6228083372815002
191,115.25197405071755,112.97975365035569,0.620195153091943,113.87147081581935,0.8662738090885588,0.9262791535900283,-0.41204972778038246,112.94884535426985,0.030908296085836538,0.057167871534150344,0.5630272815577926
197,295.3427487927701,288.3479751663768,5.165874067178434,298.70001255240555,0.5248056641305969,1.4612865908579167,-5.343356014623961,288.10156916355726,0.24640600281950462,0.8626336500041538,4.30324041717428
203,427.03663233754327,414.72593113234035,10.372539521257425,432.58696969489534,0.7100861858065102,1.1557405745062854,-7.416164117664883,414.0344397976945,0.6914913346458506,1.2760798582241264,9.096459663033299
209,509.00773525860285,492.78181532797265,14.137848476094241,516.9110494034626,0.9782312343096572,0.8180684662137976,-9.699613845383247,491.3506586732207,1.4311566547519048,1.7221218292960088,12.415726646798232
215,539.1090339419037,521.0824246171958,15.809962615338716,548.3597069767733,1.273390744517002,0.5396715913136348,-11.063735370700211,518.7960491487783,2.286375468417534,2.073535100402844,13.736427514935873
221,542.2052304605601,525.4880448641596,14.333927140550669,555.7763664514507,1.430683584433606,0.47356504801207233,-15.47538462333641,522.472011927279,3.016032936880647,2.590119148477146,11.743807992073522
227,511.73883543232665,499.3139169425372,9.845400992847487,528.5252281005645,1.610021023210392,0.4262900290967472,-18.82270372054503,495.8979644701948,3.415952472342449,2.7494728233327645,7.095928169514724
233,406.33349220784726,401.0453813896068,2.629015059045553,422.04566341188263,1.7676735254341152,0.38153919863472074,-17.86138392810422,397.8215224262014,3.2238589634053914,2.34548812561761,0.2835269334279433
239,239.47987283428913,240.0661472740118,-3.170223656205402,250.62618047414367,1.6413480969010013,0.43554288254325924,-13.22319861929878,237.52361580803648,2.5425314659753044,1.8847498048151081,-5.05497346102051
245,78.64802895958614,82.24939032194465,-5.9661151448155145,84.24578617820657,1.5091771345868863,0.4940095598043586,-7.600943913011675,80.56230579860924,1.6870845233354073,1.233229451574663,-7.199344596390177
251,-2.227554569403571,1.037527532576812,-5.366850376535216,0.0,1.3605370112781494,0.565042558883373,-4.153134139565093,0.0,1.037527532576812,0.765420436869749,-6.132270813404965
257,-1.3965470213302904,0.7455347512743279,-4.173577286111235,0.0,1.2308528676656856,0.6523192454964716,-3.2797191344924475,0.0,0.7455347512743279,0.61050184621034,-4.784079132321575
263,-1.1147804815221498,0.5582591618125555,-3.6526733331662498,0.0,1.0895472553438625,0.7582884014288918,-2.962616138294904,0.0,0.5582591618125555,0.5511062802197411,-4.203779613385991
269,-0.9239619515899906,0.4207215487227862,-3.2813795601358517,0.0,0.966371522288635,0.8614054177817148,-2.7517388916603402,0.0,0.4207215487227862,0.5116425685645298,-3.7930221287003816
275,-0.6077883709474907,0.31464686723109114,-2.8049349706407125,0.0,0.881270400673119,0.9194562125595891,-2.408514984180199,0.0,0.31464686723109114,0.44746030151313626,-3.2523952721538487
281,-0.3740928501569043,0.24016735380261753,-2.4625830944706735,0.0,0.8156059365228209,0.9747636392353828,-2.164462425915108,0.0,0.24016735380261753,0.4018719957313507,-2.864455090202024
287,-0.2182030766607974,0.18072301400634772,-2.208471357785104,0.0,0.7450339441331569,1.0317279155221841,-1.9949649363161386,0.0,0.18072301400634772,0.37023614245079756,-2.5787075002359017
293,-0.22396698519505098,0.1380023009268161,-2.1654387083242774,0.0,0.6707778672924789,1.1316221139259983,-2.026366966413528,0.0,0.1380023009268161,0.37610133183506966,-2.5415400401593473
299,-0.19505683492651782,0.10193660415175541,-2.0946175483588636,0.0,0.6063941444153732,1.2257153445332856,-2.0271663238751767,0.0,0.10193660415175541,0.37625518785929946,-2.4708727362181633
